محبت	جنسی	6.77
شیر	بلی	7.35
کتاب	کاغذ	7.46
کمپیوٹر	انٹرنیٹ	7.58
ٹرین	کار	6.31
ٹیلیفون	مواصلات	7.5
میڈیا	ریڈیو	7.42
روٹی	مکھن	6.19
ڈاکٹر	نرس	7.0
پروفیسر	ڈاکٹر	6.62
ہوشیار	بیوقوف	5.81
کمپنی	اسٹاک	7.08
اسٹاک	فون	1.62
اسٹاک	جیگوار	0.92
اسٹاک	انڈا	1.81
زرخیزی	انڈا	6.69
اسٹاک	زندگی	0.92
بینک	رقم	8.12
لکڑی	جنگل	7.73
رقم	نقد	9.15
بادشاہ	گوبھی	0.23
بشپ	ربیع	6.69
یروشلم	اسرائیل	8.46
یروشلم	فلسطینی	7.65
مقدس	جنسی	1.62
عرفات	امن	6.73
عرفات	دہشت	7.65
عرفات	جیکسن	2.5
قانون	وکیل	8.38
فلم	نقاد	6.73
طبیعیات	کیمسٹری	7.35
جگہ	کیمسٹری	4.88
شراب	کیمسٹری	5.54
پینے	کار	3.04
پیو	کان	1.31
پیو	منہ	5.96
بچی	ماں	7.85
پیو	ماں	2.65
جواہر	زیور	8.96
بھٹی	چولہا	8.79
کھانا	پھل	7.52
پرندہ	کرین	7.38
ٹول	لاگو	6.46
بھائی	راہب	6.27
کرین	لاگو	2.69
لڑکا	بھائی	4.46
سفر	کار	5.85
راہب	اوریکل	5.0
کھانا	مرغ	4.42
ساحل	پہاڑی	4.38
جنگل	قبرستان	1.85
راہب	غلام	0.92
ساحل	جنگل	3.15
راگ	مسکراہٹ	0.54
گلاس	جادوگر	2.08
دوپہر	تار	0.54
مرغ	سفر	0.62
پیسہ	ڈالر	8.42
رقم	کرنسی	9.04
رقم	دولت	8.27
رقم	جائیداد	7.57
رقم	قبضہ	7.29
رقم	بینک	8.5
رقم	جمع	7.73
رقم	واپسی	6.88
رقم	آپریشن	3.31
ٹائیگر	جیگوار	8.0
شیر	جانور	7.0
شیر	حیاتیات	4.77
شیر	جانور	5.62
نفسیات	اضطراب	7.0
نفسیات	خوف	6.85
نفسیات	افسردگی	7.42
نفسیات	کلینک	6.58
نفسیات	ڈاکٹر	6.42
نفسیات	فرائڈ	8.21
نفسیات	دماغ	7.69
نفسیات	صحت	7.23
نفسیات	سائنس	6.71
نفسیات	ادراک	7.48
سیارہ	ستارہ	8.45
سیارہ	برج	8.06
سیارہ	چاند	8.08
سیارہ	سورج	8.02
سیارہ	کہکشاں	8.11
سیارے	جگہ	7.92
مثال	معلومات	3.85
مثال	ادراک	2.81
مثال	قانون	6.65
مثال	مجموعہ	2.5
مثال	گروپ	1.77
مثال	سابقہ	6.04
کپ	کافی	6.58
کپ	مضمون	2.4
کپ	نمو	2.92
کپ	اعتراض	3.69
کپ	ہستی	2.15
کپ	پیو	7.25
کپ	کھانا	5.0
کپ	مادہ	1.92
کپ	مائع	5.9
توانائی	سیکرٹری	1.81
سیکرٹری	سینیٹ	5.06
توانائی	لیبارٹری	5.09
کمپیوٹر	لیبارٹری	6.78
ہتھیار	راز	6.06
تحقیقات	کوشش	4.59
مریخ	پانی	2.94
مریخ	سائنسدان	5.63
خبر	رپورٹ	8.16
تصویر	سطح	4.56
دریافت	جگہ	6.34
دستخط	آرام	2.38
بدھ	خبر	2.22
میل	کلومیٹر	8.66
کمپیوٹر	خبریں	4.47
علاقہ	سطح	5.34
صدر	تمغہ	3.0
جنگ	فوج	8.13
ریکارڈ	نمبر	6.31
جلد	آنکھ	6.22
جاپانی	امریکی	6.5
تھیٹر	تاریخ	3.91
رضاکار	نعرے	2.56
تعصب	پہچان	3.0
سجاوٹ	بہادری	5.63
صدی	سال	7.59
صدی	قوم	3.16
تاخیر	خبر	3.31
وزیر	پارٹی	6.63
امن	منصوبہ	4.75
اقلیت	امن	3.69
کوشش	امن	4.25
حکومت	بحران	6.56
تعیناتی	روانگی	4.25
تعیناتی	واپسی	5.88
توانائی	بحران	5.94
اعلان	خبر	7.56
اعلان	کوشش	2.75
فالج	ہسپتال	7.03
معذوری	موت	5.47
علاج	بحالی	7.91
ڈاکٹر	اہلکار	5.0
ڈاکٹر	واجبات	5.19
واجبات	انشورنس	7.03
اسکول	مرکز	3.44
وجہ	معیار	5.91
ہارورڈ	ییل	8.13
ہسپتال	انفراسٹرکچر	4.63
موت	قیدی	5.03
وکیل	ثبوت	6.69
زندگی	موت	7.88
زندگی	اصطلاح	4.5
لفظ	مماثلت	4.75
بورڈ	سفارش	4.47
گورنر	انٹرویو	3.25
اوپیک	ملک	5.63
امن	ماحول	3.69
امن	انشورنس	2.94
علاقہ	کلومیٹر	5.28
سفر	سرگرمی	5.0
مقابلہ	قیمت	6.44
صارفین	توانائی	4.75
کار	پرواز	4.94
کریڈٹ	معلومات	5.31
ہوٹل	بکنگ	8.03
رجسٹریشن	انتظام	6.0
انتظام	رہائش	5.41
مہینہ	ہوٹل	1.81
آمد	ہوٹل	6.0
بستر	الماری	6.72
الماری	کپڑے	8.0
صورتحال	اختتام	4.81
صورتحال	تنہائی	3.88
سمت	مجموعہ	2.25
گلی	جگہ	6.44
گلی	بلاک	6.88
گلی	بچوں	4.94
فہرست	زمرہ	6.38
پیداوار	اضافے	1.75
میڈیا	تجارت	3.88
میڈیا	حاصل	2.88
منافع	ادائیگی	7.63
منافع	حساب	6.48
کرنسی	مارکیٹ	7.5
اوپیک	تیل	8.59
تیل	اسٹاک	6.34
اعلان	پیداوار	3.38
اعلان	انتباہ	6.0
منافع	انتباہ	3.88
ڈالر	ین	7.78
ڈالر	ہرن	9.22
ڈالر	منافع	7.38
ڈالر	نقصان	6.09
فون	سامان	7.13
پانچ	مہینہ	3.38
رپورٹ	حاصل	3.63
مائع	پانی	7.89
کھیل	فتح	7.03
کھیل	ٹیم	7.69
کھیل	سیریز	6.19
کھیل	شکست	6.97
سات	سیریز	3.56
کھانا	تیاری	6.22
شروع	سال	4.06
شروع	میچ	4.47
کھیل	گول	5.97
باکسنگ	گول	7.61
لائن	انشورنس	2.69
دن	فجر	7.53
فطرت	ماحول	8.31
فطرت	آدمی	6.25
آدمی	گورنر	5.25
اوپیرا	کارکردگی	6.88
زندگی	سبق	5.94
توجہ	زندگی	4.06
پیداوار	عملہ	6.25
عاشق	جھگڑا	6.19
ناظرین	سیریل	2.97
امکان	لڑکی	1.94
آبادی	ترقی	3.75
اخلاقیات	اہمیت	3.31
اخلاقیات	شادی	3.69
میکسیکو	برازیل	7.44
تبدیلی	رویہ	5.44
اوپیرا	صنعت	2.63
پریکٹس	ادارہ	3.19
وزارت	ثقافت	4.69
مسئلہ	چیلنج	6.75
سائز	اہمیت	5.31
ملک	شہری	7.31
سیارہ	لوگ	5.75
ترقی	مسئلہ	3.97
تجربہ	موسیقی	3.47
موسیقی	پروجیکٹ	3.63
گلاس	دھات	5.56
ایلومینیم	دھات	7.83
موقع	ساکھ	3.88
نمائش	یادداشت	5.31
راک	جاز	7.59
میوزیم	تھیٹر	7.19
جگہ	دنیا	6.53
تحفظ	دنیا	6.19
داخلہ	ٹکٹ	7.69
شاور	سیلاب	6.03
تباہی	علاقے	6.25
گورنر	دفتر	6.34
