پرانا	نیا	1.58
ہوشیار	ذہین	9.2
مشکل	آسان	0.95
بیوقوف	گونگا	9.58
برا	خوفناک	8.42
برا	خوفناک	7.78
سخت	آسان	1.38
ہوشیار	گونگے	0.55
خوش	پاگل	0.95
نیا	تازہ	6.83
تیز	سست	0.6
گونگا	بیوقوف	6.67
خوش	ناراض	1.28
تنگ	وسیع	1.18
پرانا	تازہ	0.87
ظاہر	واضح	8.47
اچھا	ادار	5.0
عجیب	عام	0.72
مجرم	شرمندہ	6.38
گونگا	گھنے	7.27
اچھا	ظالمانہ	0.67
بڑا	وسیع	6.73
گونگا	ذہین	0.75
مشکل	آسان	0.87
ضروری	اہم	7.37
برا	لاجواب	0.65
پاگل	خوش	1.45
ایماندار	مجرم	1.18
آسان	سخت	0.52
آسان	لچکدار	4.1
مختلف	عام	1.08
سخت	ظالمانہ	8.18
دوستانہ	ادار	5.9
نازک	فریگڈ	2.38
لمبا	تنگ	3.57
بڑا	بھاری	6.18
برا	قصوروار	4.2
جدید	قدیم	0.73
نیا	قدیم	0.23
خوش	جوان	2.0
آسان	بڑا	1.12
زبردست	خوفناک	1.17
شائستہ	مناسب	7.63
معمولی	شرمندہ	2.65
گونگا	ہوشیار	1.17
رسمی	مناسب	8.02
ڈریری	سست	8.25
ناخوش	پاگل	5.95
اداس	خوفناک	5.4
بیمار	پاگل	3.57
متشدد	ناراض	6.98
گندا	سستا	1.6
سخت	گھنے	5.9
حالیہ	نیا	7.05
ہوشیار	عجیب	1.97
عجیب	ہوشیار	2.07
گونگا	نایاب	0.48
ہوشیار	سخت	0.58
لاجواب	پاگل	0.4
معمولی	لچکدار	0.98
تازہ	چوڑا	0.4
بڑے	لچکدار	0.48
گندا	تنگ	0.3
کتاب	متن	6.35
دولہا	دلہن	3.17
رات	دن	1.88
جنوب	شمال	2.2
گھوڑا	گھوڑی	8.33
نیچے	اوپر	0.7
ٹانگ	بازو	2.88
عورت	آدمی	3.33
گھوڑا	بچھڑا	7.07
اداکارہ	اداکار	7.12
استاد	انسٹرکٹر	9.25
چڑیا	باز	7.85
لفظ	لغت	3.68
رقم	تنخواہ	7.88
رقبہ	علاقہ	9.47
بحریہ	فوج	6.43
کتاب	ادب	7.53
کپڑے	الماری	3.27
بچہ	بالغ	2.98
گائے	مویشی	9.52
کتاب	کہانی	5.63
درخت	میپل	5.53
بیڈ	بیڈروم	3.4
بیماری	انفیکشن	7.15
بازو	کندھے	4.85
کشتی	لنگر	2.25
پجاری	راہب	6.28
پیر	انگلی	4.68
تاریخ	کیلنڈر	4.42
دوسرا	منٹ	4.62
ہاتھ	انگوٹھا	3.88
مٹی	گندگی	7.32
دالان	راہداری	9.28
طریقہ	انداز	7.62
ماؤس	بلی	1.12
موت	تدفین	4.93
موسیقی	راگ	6.98
بیئر	شراب	7.5
منہ	ہونٹ	7.1
ٹیکس	آمدنی	2.38
پھول	وایلیٹ	6.95
کاغذ	گتے	5.38
فرش	چھت	1.73
چھڑی	پردہ	3.03
ہاؤنڈ	لومڑی	2.38
کشتی	ڈیک	4.28
دوست	مہمان	4.25
آجر	ملازم	3.65
ہاتھ	کلائی	3.97
گیند	توپ	2.58
شراب	برانڈی	6.98
موٹل	سرائے	8.17
کپڑے	کپڑا	5.47
سٹیک	گوشت	7.47
کیل	انگوٹھا	3.55
بینڈ	آرکسٹرا	7.08
کتاب	بائبل	5.0
کاروبار	صنعت	7.02
دہائی	صدی	3.48
شراب	جن	8.65
ٹوپی	کوٹ	2.67
کھڑکی	دروازہ	3.33
بازو	کلائی	3.57
گھر	اپارٹمنٹ	5.8
گلاس	کرسٹل	6.27
شراب	برانڈی	5.15
بازو	پٹھوں	3.72
بلبلا	سوڈز	8.57
موت	سانحہ	5.8
بندوق	توپ	5.68
گھاس	بلیڈ	4.57
گیند	ٹوکری	1.67
نلی	باغ	1.67
لڑکا	بچہ	7.5
چرچ	کوئر	2.95
کپڑے	دراز	3.02
ٹاور	گھنٹی	1.9
باپ	والدین	7.07
اسکول	گریڈ	4.42
والدین	​​بالغ	5.37
بار	جیل	1.9
کار	شاہراہ	3.4
ڈکشنری	تعریف	6.25
دروازہ	تہھانے	1.97
فوج	لشکر	5.95
دھات	ایلومینیم	7.25
کرسی	بنچ	6.67
بادل	دھند	6.0
لڑکا	بیٹا	6.75
پانی	برف	6.47
بستر	کمبل	3.02
رقبہ	زون	8.33
کاروبار	کمپنی	9.02
سویٹر	جیکٹ	7.15
رقم	سرمایہ	6.67
ہاتھ	پاؤں	4.17
شراب	کاکیل	6.73
صحن	انچ	3.78
انو	ایٹم	6.45
لینس	کیمرہ	4.28
آنکھ	آنسو	3.55
خدا	شیطان	1.8
لوپ	بیلٹ	3.1
چوہا	ماؤس	7.78
موٹر	انجن	8.65
کار	ٹیکسی	7.42
بلی	شیر	6.75
سائز	وسعت	6.33
حقیقت	خیالی	1.03
دروازہ	گیٹ	5.25
ٹن	ایلومینیم	6.42
ہڈی	جبڑے	4.17
اناج	گندم	3.75
گھر	چابی	1.9
خون	گوشت	4.28
دروازہ	راہداری	3.73
خدا	روح	7.3
سوفی	کرسی	6.67
دیوار	اینٹ	4.68
سینگ	ڈھول	2.68
عضو	جگر	6.15
جملہ	لفظ	5.48
بینڈ	پریڈ	3.92
پیٹ	کمر	5.9
بادل	طوفان	5.6
خوشی	فخر	5.0
شور	جھنجھٹ	6.17
بارش	دوبد	5.97
بیئر	مشروبات	5.42
آدمی	چچا	3.92
ذہانت	منطق	6.5
مواصلات	زبان	7.47
منک	کھال	6.83
تار	ہڈی	7.62
چڑیا	ترکی	6.58
بستر	پالنا	7.3
بادل	کہرا	7.32
بار	پنجرا	2.8
پانی	نمک	1.3
احساس	انترجشتھان	7.68
صورتحال	حالت	6.58
جرم	چوری	7.53
سٹائل	فیشن	8.5
حد	سرحد	9.08
بازو	جسم	4.05
کشتی	کار	2.37
سینڈویچ	لنچ	6.3
دلہن	راجکماری	2.8
ہیروئن	ہیرو	8.78
کار	گیج	1.13
کیڑے	مکھی	6.07
جانور	شخص	3.05
چرس	بوٹی	6.5
بستر	ہسپتال	0.92
گال	زبان	4.52
ڈسک	کمپیوٹر	3.2
وکر	زاویہ	3.33
