mohabbat	jinsi	6.77
sher	billi	7.35
sher	sher	10.00
kitaab	kaghaz	7.46
computer	internet	7.58
train	car	6.31
telephone	muwasilat	7.50
media	radio	7.42
rootti	makhan	6.19
kakri	aalo	5.92
dr	nurse	7.00
professor	dr	6.62
hooshiyar	bewaqoof	5.81
company	stock	7.08
stock	market	8.08
stock	phone	1.62
stock	jigwar	0.92
stock	anda	1.81
zarkhaizi	anda	6.69
stock	zindagi	0.92
bank	raqam	8.12
lakri	jungle	7.73
raqam	naqad	9.15
professor	kakri	0.31
badshah	gobhi	0.23
badshah	malka	8.58
bishop	Rabiey	6.69
Yaroshallam	Israel	8.46
Yaroshallam	Falasteeni	7.65
muqaddas	jinsi	1.62
Maradona	football	8.62
football	football	9.03
football	basketball	6.81
football	tennis	6.63
tennis	racket	7.56
arafat	aman	6.73
arafat	dehshat	7.65
arafat	Jackson	2.50
qanoon	wakeel	8.38
film	sitara	7.38
movie	popcorn	6.19
film	naqaad	6.73
film	theatre	7.92
jagah	chemistry	4.88
sharaab	chemistry	5.54
vodka	jin	8.46
vodka	brandy	8.13
mashroob	car	3.04
peo	kaan	1.31
peo	mun	5.96
peo	khao	6.87
bachi	maa	7.85
peo	maa	2.65
car	automobile	8.94
javaahiir	zewar	8.96
Bhatti	cholha	8.79
khana	phal	7.52
chirya	murgha	7.10
parindah	kareen	7.38
tool	laago	6.46
bhai	Rahib	6.27
kareen	laago	2.69
larka	bhai	4.46
safar	car	5.85
Rahib	avrikl	5.00
khana	murgh	4.42
saahil	pahari	4.38
jungle	qabrustan	1.85
Rahib	ghulam	0.92
saahil	jungle	3.15
larke	jadugar	0.92
raag	muskurahat	0.54
glass	jadugar	2.08
dopehar	taar	0.54
murgh	safar	0.62
paisa	dollar	8.42
raqam	currency	9.04
raqam	doulat	8.27
raqam	jaedad	7.57
raqam	qabza	7.29
raqam	bank	8.50
raqam	jama	7.73
raqam	wapsi	6.88
raqam	laundering	5.65
raqam	operation	3.31
sher	jigwar	8.00
sher	kinare	8.00
sher	janwar	7.00
