purana	naya	1.58
hooshiyar	zaheen	9.2
mushkil	aasaan	0.95
bewaqoof	goonga	9.58
bura	khofnaak	8.42
bura	khofnaak	7.78
sakht	aasaan	1.38
hooshiyar	gungay	0.55
khush	pagal	0.95
naya	taaza	6.83
taiz	sust	0.6
goonga	bewaqoof	6.67
khush	naraaz	1.28
tang	wasee	1.18
purana	taaza	0.87
zahir	wazeh	8.47
ajeeb	aam	0.72
mujrim	sharminda	6.38
goonga	ghany	7.27
acha	zalimana	0.67
bara	wasee	6.73
goonga	zaheen	0.75
mushkil	aasaan	0.87
zaroori	ahem	7.37
bura	lajawab	0.65
pagal	khush	1.45
imandaar	mujrim	1.18
aasaan	sakht	0.52
mukhtalif	aam	1.08
sakht	zalimana	8.18
lamba	tang	3.57
bara	bhaari	6.18
bura	qasoorwar	4.2
jadeed	qadeem	0.73
naya	qadeem	0.23
khush	jawan	2.0
aasaan	bara	1.12
zabardast	khofnaak	1.17
shaista	munasib	7.63
mamooli	sharminda	2.65
goonga	hooshiyar	1.17
rasmi	munasib	8.02
nakhush	pagal	5.95
udaas	khofnaak	5.4
bemaar	pagal	3.57
mtshdd	naraaz	6.98
ganda	sasta	1.6
sakht	ghany	5.9
haliya	naya	7.05
hooshiyar	ajeeb	1.97
ajeeb	hooshiyar	2.07
goonga	nayaab	0.48
hooshiyar	sakht	0.58
lajawab	pagal	0.4
taaza	chaura	0.4
ganda	tang	0.3
kitaab	matan	6.35
dulha	dulhan	3.17
raat	din	1.88
junoob	shumal	2.2
ghora	ghoree	8.33
neechay	oopar	0.7
taang	baazu	2.88
aurat	aadmi	3.33
ghora	bitchrha	7.07
adakara	adakar	7.12
ustaad	instructor	9.25
chirya	baaz	7.85
lafz	lughat	3.68
raqam	thankhowa	7.88
raqba	ilaqa	9.47
behria	fouj	6.43
kitaab	adab	7.53
kapray	almaari	3.27
bacha	baaligh	2.98
gaaye	maweshi	9.52
kitaab	kahani	5.63
darakht	mipl	5.53
badd	bedroom	3.4
bemari	infection	7.15
baazu	kandhay	4.85
kashti	langar	2.25
pujari	rahib	6.28
paiir	ungli	4.68
tareekh	calendar	4.42
dosra	minute	4.62
haath	anghutha	3.88
matti	gandagi	7.32
dalaan	raahdaari	9.28
tareeqa	andaaz	7.62
mouse	billi	1.12
mout	tadfeen	4.93
moseeqi	raag	6.98
bear	sharaab	7.5
mun	hont	7.1
tax	aamdani	2.38
kaghaz	gte	5.38
farsh	chhat	1.73
chhari	parda	3.03
kashti	dik	4.28
dost	maheman	4.25
ajir	mulazim	3.65
haath	kalayi	3.97
gaind	toup	2.58
sharaab	brandy	6.98
kapray	kapra	5.47
steak	gosht	7.47
keel	anghutha	3.55
band	orchestra	7.08
kitaab	bible	5.0
kaarobar	sanat	7.02
dahai	sadi	3.48
sharaab	jin	8.65
topi	coat	2.67
khirki	darwaaza	3.33
baazu	kalayi	3.57
ghar	apartment	5.8
glass	crystal	6.27
sharaab	brandy	5.15
baazu	pathon	3.72
mout	saneha	5.8
bandooq	toup	5.68
ghaas	blid	4.57
gaind	tokri	1.67
nali	baagh	1.67
larka	bacha	7.5
kapray	daraaz	3.02
tower	ghanti	1.9
baap	walidain	7.07
school	grade	4.42
walidain	baligh	5.37
baar	jail	1.9
car	shahrah	3.4
dicitionary	tareef	6.25
fouj	lashkar	5.95
dhaat	aylominim	7.25
kursi	bench	6.67
baadal	dhund	6.0
larka	beta	6.75
pani	barf	6.47
bistar	kambal	3.02
raqba	zone	8.33
kaarobar	company	9.02
raqam	sarmaya	6.67
haath	paon	4.17
sehan	inch	3.78
anu	atom	6.45
lense	camera	4.28
aankhh	ansoo	3.55
kkhuda	shetan	1.8
loop	belt	3.1
chooha	mouse	7.78
motor	engine	8.65
car	taxi	7.42
billi	sher	6.75
size	wusat	6.33
haqeeqat	khayaali	1.03
darwaaza	gate	5.25
tan	aylominim	6.42
haddi	jabray	4.17
anaaj	gandum	3.75
ghar	chaabi	1.9
khoon	gosht	4.28
darwaaza	raahdaari	3.73
kkhuda	rooh	7.3
sofa	kursi	6.67
deewar	eent	4.68
seeng	dhol	2.68
